timestamp,TELEM/TWSB/PITCH,TELEM/TWSB/ROLL,TELEM/TWSB/ACCEL_X,TELEM/TWSB/ACCEL_Y,TELEM/TWSB/ACCEL_Z,TELEM/TWSB/GYRO_X,TELEM/TWSB/GYRO_Y,TELEM/TWSB/GYRO_Z,TELEM/TWSB/LEFT_SHAFT_RPS,TELEM/TWSB/LEFT_WHEEL_TRGT,TELEM/TWSB/LEFT_VOLTAGE,TELEM/TWSB/RIGHT_SHAFT_RPS,TELEM/TWSB/RIGHT_WHEEL_TRGT,TELEM/TWSB/RIGHT_VOLTAGE,TELEM/TWSB/LINEAR_VEL,TELEM/TWSB/LIN_VEL_TRGT,TELEM/TWSB/BALANCE_ANGLE,TELEM/TWSB/ANGULAR_VEL,TELEM/TWSB/ANG_VEL_TRGT,TELEM/TWSB/STEER_DIFF,TELEM/TWSB/XPOS,TELEM/TWSB/LQR_U
1742781267928797322,0.621,-1.289,0.022,-0.080,1.014,57.977,-28.396,-46.282,1.538,1.091,0.447,1.042,0.831,0.865,0.324,0.262,-0.236,0.150,0.234,0.128,14.255,0.000
1742781267939052401,0.743,-1.361,0.022,-0.046,0.951,55.993,-31.190,-55.031,1.066,1.046,1.420,1.042,0.789,0.712,0.265,0.262,-0.443,0.007,0.234,0.235,14.255,0.000
1742781267948802995,0.688,-0.925,0.070,0.116,0.788,54.649,-35.434,-63.229,1.561,1.144,-0.157,1.042,0.673,-0.194,0.327,0.262,-0.225,0.157,0.234,0.133,14.256,0.000
1742781267961214627,0.140,-0.650,0.150,-0.023,0.840,52.771,-47.190,-76.176,1.068,1.360,2.032,1.042,1.095,1.297,0.265,0.259,-0.442,0.008,0.214,0.244,14.256,0.000
1742781267969811360,-0.194,-0.240,0.014,0.088,0.968,37.901,-77.937,-52.941,1.561,1.363,0.615,1.065,0.874,0.474,0.330,0.259,-0.204,0.150,0.214,0.132,14.257,0.000
1742781267979211784,-0.433,-0.042,0.015,-0.016,0.986,36.298,-78.137,-47.504,1.068,1.355,2.396,1.042,1.092,1.668,0.265,0.254,-0.431,0.008,0.180,0.238,14.258,0.000
1742781267988837377,-0.690,-0.305,0.021,-0.086,1.003,35.016,-78.183,-42.420,1.562,1.484,0.710,1.042,1.009,0.657,0.327,0.254,-0.192,0.158,0.180,0.110,14.258,0.000
1742781267999107585,-0.953,-0.905,0.023,-0.162,0.939,37.947,-78.778,-36.893,1.561,1.512,1.546,1.042,1.292,2.104,0.327,0.254,-0.192,0.157,0.180,0.111,14.259,0.000
1742781268008950753,-1.057,-1.245,-0.048,-0.020,1.038,37.703,-71.908,-34.496,1.066,1.531,2.512,1.561,1.310,0.610,0.330,0.254,-0.181,-0.150,0.180,0.336,14.260,0.000
1742781268019223147,-0.961,-1.200,0.021,-0.004,0.928,36.741,-61.251,-43.245,1.538,1.708,1.766,1.538,1.037,-0.048,0.386,0.254,0.017,0.000,0.154,0.236,14.260,0.000
1742781268029225353,-0.947,-1.057,-0.014,0.048,0.924,37.428,-59.251,-40.649,1.068,1.708,3.410,1.042,1.235,2.119,0.265,0.254,-0.408,0.008,0.154,0.217,14.261,0.000
1742781268039098411,-0.583,-0.857,-0.088,0.027,1.012,40.237,-53.129,-42.374,1.538,1.394,0.696,1.066,0.961,0.556,0.327,0.254,-0.190,0.143,0.154,0.123,14.262,0.000
1742781268048896227,0.087,-1.169,-0.046,-0.150,0.904,54.236,-19.406,-48.924,1.091,1.111,2.107,1.513,0.866,0.275,0.327,0.254,-0.190,-0.128,0.154,0.321,14.262,0.000
1742781268061241062,0.617,-1.670,-0.030,-0.194,1.028,63.703,-10.885,-51.229,1.068,1.201,1.952,1.042,0.560,0.236,0.265,0.254,-0.407,0.008,0.131,0.230,14.263,0.000
1742781268068904084,1.159,-1.859,-0.021,-0.077,1.098,63.504,-5.511,-56.634,1.066,0.855,0.791,1.017,0.395,-0.440,0.262,0.254,-0.418,0.015,0.131,0.213,14.263,0.000
1742781268079239386,1.655,-1.511,-0.006,0.042,0.981,60.665,-2.198,-63.535,1.538,0.641,-0.554,1.040,0.215,-0.624,0.324,0.253,-0.200,0.151,0.092,0.117,14.264,0.000
1742781268088758718,0.779,-1.018,0.211,0.252,0.764,45.078,-46.988,-45.567,1.066,1.231,1.387,1.040,0.997,0.655,0.265,0.253,-0.406,0.008,0.092,0.192,14.264,0.000
1742781268099458078,-0.044,0.308,0.034,0.135,0.916,44.161,-83.496,-64.802,1.538,1.348,0.582,1.042,0.964,0.613,0.324,0.253,-0.198,0.150,0.092,0.091,14.265,0.000
1742781268108808538,-0.412,0.618,-0.001,0.019,0.968,42.649,-93.389,-74.420,1.561,1.253,0.882,1.042,1.072,1.454,0.327,0.253,-0.187,0.157,0.092,0.084,14.266,0.000
1742781268119172359,-0.749,0.370,0.005,-0.092,0.970,45.214,-92.915,-73.947,1.068,1.343,1.915,1.042,1.175,1.338,0.265,0.254,-0.404,0.008,0.047,0.191,14.266,0.000
1742781268130171054,-1.062,-0.082,0.011,-0.112,0.978,49.015,-89.389,-72.313,1.538,1.491,0.773,1.042,1.109,0.805,0.324,0.254,-0.198,0.150,0.047,0.057,14.267,0.000
1742781268139145086,-1.219,-0.499,-0.076,-0.162,1.065,50.802,-83.862,-67.367,1.066,1.430,2.679,1.040,1.317,2.238,0.265,0.254,-0.406,0.008,0.047,0.157,14.267,0.000
1742781268148808271,-1.022,-0.614,-0.067,0.037,1.033,48.878,-68.915,-52.619,1.561,1.352,0.660,1.042,1.038,0.923,0.327,0.254,-0.188,0.157,0.047,0.049,14.268,0.000
1742781268161219848,-0.654,-0.395,-0.076,0.030,1.055,46.619,-53.068,-53.687,1.561,1.186,1.030,1.512,1.088,0.684,0.386,0.254,0.020,0.015,0.007,0.150,14.269,0.000
1742781268168951130,-0.407,-0.263,0.014,0.016,0.963,41.978,-34.443,-48.268,1.068,1.364,2.404,1.537,1.063,0.326,0.327,0.254,-0.188,-0.142,0.007,0.237,14.270,0.000
1742781268179230505,-0.221,-0.255,0.017,-0.032,0.967,43.520,-34.274,-47.718,1.561,1.372,0.625,1.066,0.898,0.437,0.330,0.254,-0.177,0.150,-0.024,0.028,14.270,0.000
1742781268189380620,-0.049,-0.426,0.015,-0.059,0.925,43.993,-34.900,-48.237,1.068,1.126,1.591,1.042,1.069,1.284,0.265,0.254,-0.405,0.008,-0.024,0.104,14.271,0.000
1742781268199268510,0.147,-0.647,0.003,-0.059,0.962,44.629,-31.973,-47.755,1.043,1.068,1.151,1.042,0.859,0.417,0.262,0.254,-0.415,0.000,-0.024,0.109,14.271,0.000
1742781268208805102,0.390,-0.776,0.007,-0.027,0.997,43.733,-30.351,-46.496,1.066,0.960,1.201,1.042,0.742,0.507,0.265,0.254,-0.405,0.008,-0.024,0.103,14.272,0.000
1742781268219259849,0.549,-0.799,0.035,-0.016,0.925,42.603,-30.152,-44.222,1.561,0.908,-0.180,0.547,0.702,1.534,0.265,0.254,-0.405,0.307,-0.068,-0.117,14.272,0.000
1742781268229212926,0.383,-1.048,0.104,-0.100,0.860,43.397,-35.908,-36.191,1.066,0.820,0.435,1.040,1.054,0.846,0.265,0.254,-0.405,0.008,-0.068,0.060,14.273,0.000
1742781268239071779,0.297,-1.210,0.026,-0.061,0.960,43.853,-51.653,-14.338,1.066,0.894,1.091,1.042,0.774,0.660,0.265,0.254,-0.405,0.007,-0.068,0.058,14.273,0.000
1742781268248734724,0.150,-1.474,0.068,-0.102,0.917,43.352,-55.144,-8.542,1.042,0.940,0.998,1.042,0.823,0.516,0.262,0.254,-0.416,0.000,-0.068,0.062,14.274,0.000
1742781268261210671,-0.102,-1.727,0.023,-0.053,0.949,44.115,-62.442,2.206,1.042,1.007,1.237,1.042,0.884,0.740,0.262,0.255,-0.416,0.000,-0.120,0.060,14.274,0.000
1742781268269078713,-0.268,-1.730,0.025,-0.017,0.956,44.298,-65.496,5.855,1.043,1.019,1.175,1.042,0.900,0.695,0.262,0.255,-0.417,0.000,-0.120,0.019,14.275,0.000
1742781268279297236,-0.546,-1.646,0.038,-0.017,0.936,45.159,-73.521,-1.391,1.042,1.084,1.256,1.512,1.047,-0.164,0.321,0.257,-0.210,-0.142,-0.152,0.120,14.276,0.000
1742781268289210479,-0.802,-1.626,0.026,-0.039,0.938,46.497,-77.572,-3.962,1.536,1.306,1.005,1.042,1.067,1.419,0.324,0.257,-0.208,0.150,-0.152,-0.117,14.276,0.000
1742781268299284556,-1.061,-1.639,0.025,-0.026,0.936,45.367,-79.557,-4.420,1.561,1.175,0.251,1.043,1.408,1.862,0.327,0.257,-0.196,0.157,-0.152,-0.131,14.277,0.000
1742781268308862963,-1.172,-1.496,-0.031,0.020,1.011,45.733,-80.259,-4.451,0.570,1.166,2.857,1.066,1.427,2.100,0.206,0.257,-0.622,-0.150,-0.152,0.084,14.277,0.000
1742781268319357117,-1.121,-1.304,-0.039,-0.032,1.024,43.048,-66.595,-21.246,0.572,1.267,2.273,1.538,1.098,-0.660,0.265,0.259,-0.414,-0.293,-0.172,0.188,14.278,0.000
1742781268328942950,-0.956,-1.539,-0.004,-0.085,1.002,43.016,-55.526,-9.947,1.042,1.367,2.477,0.570,0.990,2.495,0.203,0.259,-0.640,0.143,-0.172,-0.141,14.278,0.000
1742781268339042083,-0.866,-1.689,0.021,-0.025,0.943,41.275,-48.045,3.122,1.066,1.002,0.792,1.042,1.283,1.327,0.265,0.259,-0.422,0.008,-0.172,-0.051,14.279,0.000
